名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
鈴見児童公園,スズミジドウコウエン,suzumijidokoen,金沢市鈴見台２丁目356番地,石川県,金沢市,鈴見台2丁目,356番地,,36.56203703,136.6868565,70,,1,1,,1,1,,,,,,,,,,
鈴見台第２児童公園,スズミダイダイニジドウコウエン,suzumidaidainijidokoen,金沢市鈴見台４丁目43番地,石川県,金沢市,鈴見台4丁目,43番地,,36.56392254,136.6837875,71,,1,1,,1,1,,,,,,,,,,
金沢市立兼六小学校,カナザワシリツケンロクショウガッコウ,kanazawashiritsukenrokushogakko,金沢市兼六元町７番15号,石川県,金沢市,県六元町,7番15号,,36.56552732,136.66613,23,,1,1,,1,1,,,,1,,,,,,
金沢市立兼六中学校,カナザワシリツケンロクチュウガッコウ,kanazawashiritsukenrokuchugakko,金沢市田井町12番12号,石川県,金沢市,田井町,12番12号,,36.5595,136.680178,23,,,1,,1,1,,,,1,,,,,,
金沢市立小将町中学校,カナザワシリツコショウマチチュウガッコウ,kanazawashiritsukoshomachichugakko,金沢市小将町１番15号,石川県,金沢市,小将町,1番15号,,36.564333,136.664874,28,,1,1,,1,1,,,,1,,,,,,
金沢大学人間社会学域学校教育学類附属特別支援学校,カナザワダイガクニンゲンシャカイガクイキガッコウキョウイクガクルイフゾクトクベツシエンガッコウ,kanazawadaigakuningenshakaigakuikigakkokyoikugakuruifuzokutokubetsushiengakko,金沢市東兼六町２番10号,石川県,金沢市,東兼六町,2番10号,,36.56272893,136.6660535,28,,1,1,,1,1,,,,1,,,,,,
金沢市味噌蔵町公民館,カナザワシミソクラマチコウミンカン,kanazawashimisokuramachikominkan,金沢市兼六元町７番19号,石川県,金沢市,兼六元町,7番19号,,36.56644534,136.6653046,20,,1,1,,1,1,,,,1,,,,,,
金沢城公園,カナザワジョウコウエン,kanazawajokoen,金沢市丸の内１番１号ほか,石川県,金沢市,丸の内,1番1号ほか,,36.56775963,136.6597706,49,,1,1,,1,1,,,,,,,,,,
天神町緑地,テンジンマチリョクチ,tenjimmachiryokuchi,金沢市天神町２丁目617番地１ほか,石川県,金沢市,天神町2丁目,617番地1ほか,,36.56033246,136.6744657,23,,,1,,1,1,,,,,,,,,,
田井町第１児童公園,タイマチダイイチジドウコウエン,taimachidaiichijidokoen,金沢市田井町273番地,石川県,金沢市,田井町,273番地,,36.56051664,136.6792105,23,,,1,,1,1,,,,,,,,,,
天神しらうめ公園,テンジンシラウメコウエン,tenjinshiraumekoen,金沢市天神町１丁目586番地,石川県,金沢市,天神町1丁目,586番地,,36.55836305,136.6773957,28,,,1,,1,1,,,,,,,,,,
金沢市立中央小学校,カナザワシリツチュウオウショウガッコウ,kanazawashiritsuchuoshogakko,金沢市長町１丁目10番35号,石川県,金沢市,長町1丁目,10番35号,,36.570021,136.650712,13,,1,1,,1,1,,,,1,,,,,,
