和暦,西暦,月日,分類,事項,出典
昭和二十六年,1951,10月19日,社会・文化,石川護国神社の例大祭が、講和調印により6年ぶりで盛大に執行され、市長、知事、県市議会議長らが戦後初めて公式の資格で参拝した。同神社は標柱を戦後「石川神社」とかえていたが、再び石川護国神社にもどした。,金沢の百年　大正・昭和編
昭和二十六年,1951,10月24日,社会・文化,社会党が、講和条約に対する賛否から右派と左派に分裂した。右派は講和賛成安保反対、左派は講和安保両条約反対。社会党石川県連はいますぐには分裂の兆はない。,金沢の百年　大正・昭和編
昭和二十六年,1951,10月31日,社会・文化,"金沢市の高峰顕彰会（会長井村市長）へ、譲吉博士の子息ニューヨーク市エベン・高峰から奨学資金として300ドル（10万8,000円）が送られてきた。今後10年間300ドルずつ送ってくるもので、市は高峰奨学資金として市内高、中学生の成績優秀生徒を選び交付する。",金沢の百年　大正・昭和編
昭和二十六年,1951,11月3日,社会・文化,第5回（昭和26年度）金沢市文化賞贈呈式がおこなわれた。〔功労賞〕中島徳太郎（元貴族院議員）　金浦彦太郎（狂言）　〔科学賞〕岩崎憲（金大医学部教授）。,金沢の百年　大正・昭和編
昭和二十六年,1951,11月14日,社会・文化,"兼六園夕顔亭庭さきの竹化石について、来県中の東京大学理学部教授小倉謙博士が「これは竹ではなく、現在は死滅している南方産棕梠科の植物で、約1億3,000万年前のもの」と鑑定した。",金沢の百年　大正・昭和編
昭和二十六年,1951,11月15日,社会・文化,万葉集研究の貴重な資料である春日懐紙（裏書のないもの）38枚が、梅本町前川吉栄の手元に保存されていることがわかった。昨年前田家から譲りうけたものだという。,金沢の百年　大正・昭和編
昭和二十六年,1951,11月17日,社会・文化,午前1時ごろ田丸町のふろ屋から出火、同ふろ屋（140坪）を全焼、隣家2戸を半焼した。,金沢の百年　大正・昭和編
昭和二十六年,1951,11月18日,社会・文化,県教育委員会は、金沢市に県立商業高校設立の方針を決定した。,金沢の百年　大正・昭和編
昭和二十六年,1951,12月10日,社会・文化,12日の北鉄ストを前に、金沢市議会は北鉄労使双方に「市民に迷惑がかからないよう善処せよ」と強硬な申入れをした。（争議は11日妥結）,金沢の百年　大正・昭和編
昭和二十六年,1951,12月17日,社会・文化,午後10時20分ごろ象眼町野上鉄工会社下中島工場から出火、工場1むね（約15坪）を全焼した。,金沢の百年　大正・昭和編
昭和二十六年,1951,12月24日,社会・文化,午前4時ごろ中本多町4番丁平野化学工業会社構内の新生化学工業メッキ工場から出火、同工場と平野化学の工場2むね、倉庫、事務所等512坪を全焼、民家3戸を半焼した。,金沢の百年　大正・昭和編
昭和二十六年,1951,12月25日,社会・文化,全国各地で公共建物の火災、盗難事件等が続発しているので、市は本日から1月15日までの間、市内学校施設の夜間使用を理由のいかんを問わず禁止した。公民館等の施設も同様。,金沢の百年　大正・昭和編
昭和二十六年,1951,12月27日,社会・文化,26日夜から27日にかけて県下に強風が吹き荒れ、金沢では最大瞬間風速32メートル。市内で住宅の損壊、板べいの倒壊が続出、兼六園の老木も相当倒れた。,金沢の百年　大正・昭和編
昭和二十六年,1951,12月,社会・文化,県教育委員会が27年度に創設することにしている県立商業高校は、校舎に予定した金沢市立紫錦台中学校の返還が市との間にまとまらぬため、27年度は創設を見送ることになった。,金沢の百年　大正・昭和編
昭和二十七年,1952,1月14日,政治・経済,"金沢工業港建設第1期工事費の27年度分として、2,000万円の国庫補助が政府予算案で承認された（要求は8,590万円）。なお26年度には同港建設の一環として、大野港左岸突堤36メートル（740万円）が施工された。",金沢の百年　大正・昭和編
昭和二十七年,1952,1月22日,政治・経済,"市は市内中心街の交通緩和のため、27年度に二万堂線を完成して、金沢駅前から二万堂まで4,400メートル直線化を完成することにした。二万堂線は昭和11年着工、今までに駅前から増泉町まで2,800メートルを完成し、あと1,600メートルを残しているもの。",金沢の百年　大正・昭和編
昭和二十七年,1952,1月22日,政治・経済,"市は第1種、第2種市営住宅100戸の入居者を募集したが、申込み者は25倍の2,589人に達した。市営住宅建設地は藤棚町、品川町、粟崎町、西泉町、有松町。",金沢の百年　大正・昭和編
昭和二十七年,1952,1月25日,政治・経済,金沢城跡の遊歩道路が完成した。コースは百閒堀の市消防本部横から登り、城の外側を兼六園コートの上から宮守堀通りの金沢大学裏口まで540メートル。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月23日,政治・経済,社会党石川県支部連合会が左右両派に分裂した。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月13日,政治・経済,改進党金沢支部が結成された。支部長鳥畠徳次郎。民主党支部は解党。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月18日,政治・経済,尾山神社前庭に戦後できた尾山商店街の土地払下げ問題は、北陸財務局との3年越しの交渉がまとまり、総額490万円から商店街建設費240万円を控除した250万円で、国から尾山商店街に払下げることにきまり、尾山神社石黒文吉宮司立会のうえ正式解決した。商店街は年50万円ずつ5年年賦で国庫に支払う。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月20日,政治・経済,市議会は、県が創設する道路補修特別税に対する反対意見書を全員一致で可決。直ちに知事と県議会議長に送付した。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月21日,政治・経済,改進党石川県支部連合会の結成大会が開かれた。県連会長井村徳二。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月22日,政治・経済,電力会社が市に支払う公納金の有効期限延長法案が、20日衆議院を通過したと市議会へ連絡があった。この法案の関係都市は金沢市をふくむ全国12都市で、電力事業統合のとき公納金の支払いが10年間と限られ、本年3月31日で切れるので、それを延長するという法案である。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月26日,政治・経済,県労働組合評議会は、道路補修特別税に賛成の金沢市選出改進党8県議のリコールを決定した。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月28日,政治・経済,"4月から市長ら市3役と市議会議員の報酬引上げが市議会で議決された。市長は年額48万円を60万円、助役は42万円を54万円、収入役は30万円を42万円。議員報酬は議長年額18万円を20万4,000円、副議長15万円を17万4,000円、議員12万円を14万4,000円に引上げるもの。",金沢の百年　大正・昭和編
昭和二十七年,1952,3月29日,政治・経済,市議会が反対意見書を出した県の新税、道路補修特別税は、県議会で臨時道路補修特別税と改称し、負税点を5万円から8万円に修正して可決された。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月30日,政治・経済,"市は小立野天徳院うしろの前田家墓地7,100坪を、前田家から無償払下げを受けることに前田家と正式契約が成立、同墓地を工費550万円で野田山に移転する（5月1日着工）。墓地跡には石引町小学校（鉄筋3階建）を建設の予定。",金沢の百年　大正・昭和編
昭和二十七年,1952,3月30日,政治・経済,市は4月1日から市営住宅の家賃を2割方値上げすることにきめた。市営住宅の家賃が民間貸家に比し低すぎるのが理由。,金沢の百年　大正・昭和編
昭和二十七年,1952,4月1日,政治・経済,市は市役所の戸籍謄本複写に複写機を使いはじめた。（コピア複写機使用、1枚の複写所要時間3分）,金沢の百年　大正・昭和編
昭和二十七年,1952,4月1日,政治・経済,"金沢市工場設置奨励に関する条例が施工された。資本金3,000万円以上、従業員50人以上の工場設置に対し、3年間市民税と固定資産税の課税の範囲内で奨励金を交付するもの。（県も同様条例を施行）",金沢の百年　大正・昭和編
昭和二十七年,1952,4月15日,政治・経済,"北鉄市内電車が8円から10円に値上げされた。北鉄は市に値上げ承認を申請と同時に、会社の市電路面改修3ヵ年計画（約9,000万円）を市へ提出した。",金沢の百年　大正・昭和編
昭和二十七年,1952,4月28日,政治・経済,講和発効、日本は独立国家となった。市では午前10時から、市議会議場に各公職者等300余人が集って記念式をあげたのち、卯辰山飛鳶台で市長、議長はじめ中学校、青年団、婦人会の各代表者の手で記念植樹をした。,金沢の百年　大正・昭和編
昭和二十七年,1952,4月,政治・経済,県の失業救済事業として浅野川改良工事がはじめられた。施行区間は常盤橋から大橋に至る間。水流を川の中央に位置させるため川州を掘りさげてその土砂を両側に積み、他に運んで水たまりのないようにして蚊の発生も防ぐ。明年3月末完工の予定。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月9日,政治・経済,（地方財政委員会は石川県から申請中の臨時道路補修特別税を、27年度限りの条件づきで許可した。）,金沢の百年　大正・昭和編
昭和二十七年,1952,5月20日,政治・経済,"市は、金沢ー富山を高速電車で結ぶ計画の加越能鉄道に、500万円を出資することを市議会議員全員協議会にはかり、承認を得た。（市は5月中に立替え出資し、6月18日の市会に追加予算として提出、多数で議決を得た）。市以外の出資額は石川、富山両県が各1,000万円、北陸鉄道1,500万円。",金沢の百年　大正・昭和編
昭和二十七年,1952,5月20日,政治・経済,"新金沢駅の地下民衆施設計画が地元側で決定した。経営は県、市、商工会議所の共同出資による金沢駅地下ビル株式会社（仮称、資本金3,600万円）とし、売店の権利金1,000万円と会議所300万円、市1,500万円、県800万円の出資となる予定。",金沢の百年　大正・昭和編
昭和二十七年,1952,5月24日,政治・経済,加越能鉄道に対する出資について、石川県側の柴野知事、井村金沢市長と富山県側の佐伯加越能鉄道社長との間で、共同出資の調印がおこなわれた。,金沢の百年　大正・昭和編
昭和二十七年,1952,6月1日,政治・経済,（県は県下8ヵ所の地方事務所を廃止し、新たに地方事務所所在地に財政事務所と福祉事務所を設置した。）,金沢の百年　大正・昭和編
昭和二十七年,1952,6月1日,政治・経済,"金沢ー富山を結ぶ高速電車計画は、加越能鉄道会社（本社高岡、社長佐伯宗義）に対し石川県が1,000万円、富山県が1,000万円、金沢市が500万円、北鉄が1,500万円出資して、予定資本金6,000万円を1億円として発足することになり、本日株主総会を開催、新役員を決めた。石川県側役員は副社長井村徳二、取締役北敏、益谷秀次、林屋亀次郎、太田孝三、土井登、吉田圭蔵、監査役野根長太郎、顧問柴野知事。",金沢の百年　大正・昭和編
昭和二十七年,1952,6月8日,政治・経済,事実上の左派社会党石川県連結成大会である社会党県連再建大会が開かれた。委員長円山定盛。（右派の社会党石川県連会長は岡良一）,金沢の百年　大正・昭和編
昭和二十七年,1952,6月15日,政治・経済,"河北潟干拓期成同盟会の結成大会が津幡小学校で挙行された。会長益谷秀次。この干拓事業は河北潟水面の3分の2の1,600町歩を干拓しようというもので干拓調査費として国費200万円、県費50万円の支出が決定している。",金沢の百年　大正・昭和編
昭和二十七年,1952,6月18日,政治・経済,"新金沢駅地下ビルに対する金沢市の出資1,500万円が市議会に提出され、多数で可決された。市は現金出資を行なわず北陸電力社債をこれにあてることにし、これを金沢商工会議所が預かって代位出資をする。",金沢の百年　大正・昭和編
昭和二十七年,1952,6月18日,政治・経済,市議会は、金沢大学に大学院設置に関する意見書を全員一致可決した。近く文部大臣に提出する。,金沢の百年　大正・昭和編
昭和二十七年,1952,6月18日,政治・経済,市は市役所部課の統合廃止を実施した。総務部税務課を固定資産税課を市民税課に分離、民生部母子課を廃止して社会福祉事務所を独立、衛生部医務課と保健課を統合して公衆衛生課とし、農林水産課を農林課と改称した。,金沢の百年　大正・昭和編
昭和二十七年,1952,6月18日,政治・経済,市収入役小森東朔が退職し、後任に民生部長上田茂が就任した。民生部長には民生課長新保義久が任命された。,金沢の百年　大正・昭和編
昭和二十七年,1952,6月20日,政治・経済,"金沢工業港起工式が運輸省黒田港湾局長らを迎え、地元側から徳田市議会議長柴野知事ら各界代表約200人が参列して大野河口と大野小学校で挙行され、5ヵ年計画、2億6,000万円の第1期工事のスタートを切った。工事費負担は国庫4割、県市各3割。第1期工事初年度の本年度は2,000万円で河口左岸200メートル、右岸100メートルの防波堤築建と護岸、砂止工事しゅんせつ等。なお隣接の工業地帯27万5,000坪の工場誘致も計画が進んでいる。",金沢の百年　大正・昭和編
昭和二十七年,1952,6月23日,政治・経済,市議会は金沢市と富山県城端町を結ぶ県道の貫通運動を、両県の関係町村と協力して行なうことになり、市議会代表の4議員らが未開通の県境横谷峠を踏査した。（未開通部分は県境約7キロ）,金沢の百年　大正・昭和編
昭和二十七年,1952,7月1日,政治・経済,（住民登録が全国一斉に実施された。）,金沢の百年　大正・昭和編
昭和二十七年,1952,7月2日,政治・経済,水害緊急対策を協議する市議会全員協議会は、市長専決処分による応急費690万円の支出を認め、浅野川の小橋と鈴見橋に仮橋の架設をきめた。,金沢の百年　大正・昭和編
昭和二十七年,1952,7月21日,政治・経済,市は東京都文京区表町にある明倫学館の再建補助金に50万円を支出した。同館には現在石川、富山両県の在京大学生53人がいる。,金沢の百年　大正・昭和編
昭和二十七年,1952,7月22日,政治・経済,石川県経済界が誘致運動を続けていた金沢通産局の設置は、富山県側との話合いがつかず、ついに設置取りやめになった。,金沢の百年　大正・昭和編
昭和二十七年,1952,7月31日,政治・経済,大和武蔵店が閉店した。,金沢の百年　大正・昭和編
昭和二十七年,1952,8月1日,政治・経済,"7月1日の水害による県下の土木復旧費は建設省査定で833ヵ所、6億9,829万円、うち金沢市は26ヵ所、4,194万円と決定した。",金沢の百年　大正・昭和編
昭和二十七年,1952,8月1日,政治・経済,行政管理庁石川地方監察局が発足した。石川地方経済調査局は廃止。,金沢の百年　大正・昭和編
昭和二十七年,1952,8月23日,政治・経済,"犀川の御影大橋が完工、渡橋式がおこなわれた。25年8月の起工で工費6,000万円。長さ105メートル、中央車道9メートル、左右歩道各2メートルのワーレン型橋。同橋の開通により産業道路二万堂線はほぼ8割完成した。",金沢の百年　大正・昭和編
昭和二十七年,1952,8月25日,政治・経済,市の新施設「市民相談所」が開設された。場所は市役所本庁舎表窓寄り、係員は男女２人、業務内容は市役所事務室の案内取次ぎと業務案内、軽易な相談、市公報等の閲覧。,金沢の百年　大正・昭和編
昭和二十七年,1952,8月28日,政治・経済,"市議会で水害復旧土木費4,552万円、同耕地費1,556万円等が可決された。土木復旧費のうち、橋の改修費は3,122万円（市単独分47万円）で、架けかえる橋は小橋（鉄筋）上菊橋、鈴見橋、梅ノ橋、中ノ橋、御所大橋（以上木橋）、一部改修は常盤橋。",金沢の百年　大正・昭和編
昭和二十七年,1952,9月3日,政治・経済,"（戦争で中断されていた北陸線倶利伽羅新トンネルの工事が再開された。昭和16年、全長2,400メートルのうち350メートルだけ施工したままで中止されたもの。）",金沢の百年　大正・昭和編
昭和二十七年,1952,9月4日,政治・経済,市は水害更正資金100万円を設定、被害市民に無利子で1世帯1万円までを貸付けることにした。返済は1年以内の分割払い。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月15日,政治・経済,下本多町の元アメリカ軍ＣＩＣ跡建物（終戦時までの海軍人事部庁舎）が、北陸財務局から金沢市に払下げられた。金沢市警本部がここへ移転する。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月18日,政治・経済,河北郡内灘村旧軍用地の砂丘地帯600町歩と海域400町歩の接収打合せのため、県開拓課長が上京した。同地接収は日米行政協定にもとづく在日米軍演習地用で砲弾試験射撃場にあてられるという見方が強い。接収地域は粟崎地内にも及ぶので、地元内灘と金沢から猛反対が予想される。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月20日,政治・経済,内灘村砂丘地の米軍接収に対し、右派社会党県連は反対闘争の声明を出した。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月22日,政治・経済,左派社会党石川県連、労農党石川地方本部、共産党石川県委員会はそれぞれ代表が柴野知事に会見、内灘砂丘接収反対の申入れ書を手渡した。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月25日,政治・経済,初めて執行される金沢市教育委員会選挙の立候補届出締切りの結果、無競争で次の4人の当選が決定した。森直弘（無、県評）松身富子（無、婦連）福島源太郎（無、教組）細川栄松（無、教組）,金沢の百年　大正・昭和編
昭和二十七年,1952,9月25日,政治・経済,内灘村村民大会は「内灘砂丘接収に対し、死力をつくして反対すること」を決議した。,金沢の百年　大正・昭和編
昭和二十七年,1952,9月27日,政治・経済,金沢市粟崎町は粟崎善隣館で同町各団体主催の町民総決起大会を開き、内灘砂丘接収絶対反対を決議した。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月1日,政治・経済,"警察予備隊の射撃場として大桑町1万5,381坪が決定した。",金沢の百年　大正・昭和編
昭和二十七年,1952,10月1日,政治・経済,金沢商工会議所議員総会で会頭に西川外吉（再）副会頭に吉田次作（再）麻生徳次（再）池田作松（新）が選任された。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月2日,政治・経済,"衆議院議員総選挙は1日おこなわれ、開票結果は次の通り。投票率82.4％。〔第1区〕当選64,912票　辻政信（無新）同41,504票　坂田英一（自由前）同32,986票　武部英治（改進新）次点31,453票　岡良一（右社前）27,968票　前川吉栄（改進新）23.050票　武谷甚太郎（改進元）17,971票　森島守人（左社新）8,909票　梨木作次郎（共産前）2,658票　長谷長次（無元）〔第2区〕当選49,590票　益谷秀次（自由前）同39,636票　南好雄（自由前）同34,581票　大森玉木（改進前）次点31,669票　喜多壮一郎（改進元）17,368票　北尾幸一（無新）13,648票　富田喜作（無新）2,837票　梅田兵一（共産新）",金沢の百年　大正・昭和編
昭和二十七年,1952,10月3日,政治・経済,西町に石川県繊維会館が完成した。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月6日,政治・経済,"石川県教育委員の半数（3人）改選が5日おこなわれ開票結果は次の通り。投票率58.6％（うち金沢市39.5％）。〔当選〕83,978票　中村清人（無前）79,334票　宮本順二（無前）74,723票　鈴木紀（無新）〔次点〕66,510票　坂本三十次（無前）",金沢の百年　大正・昭和編
昭和二十七年,1952,10月6日,政治・経済,武蔵デパートが武蔵ヶ辻の大和武蔵店跡に開店した。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月10日,政治・経済,市は本日限り新地城の14支所、出張所を廃止、その職員62人の転出異動を発表した。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月15日,政治・経済,"警察予備隊が保安隊となり、金沢駐とん部隊でも記念式典を行ない、井村市長らが激励の祝辞をおくった。金沢駐とん部隊は11月から普通科、建設、施設の3大隊編成（約3,000人）になる。",金沢の百年　大正・昭和編
昭和二十七年,1952,10月20日,政治・経済,市議会選出の市教育委員に羽間政信が選任された。,金沢の百年　大正・昭和編
昭和二十七年,1952,10月29日,政治・経済,"石浦町日本勧業銀行金沢支店の新行舎落成式がおこなわれた。建坪359坪、地上2階一部3階、工費5,000万円。",金沢の百年　大正・昭和編
昭和二十七年,1952,10月30日,政治・経済,第4次吉田内閣成立。石川県選出参議院議員林屋亀次郎が無任所国務大臣に就任した。,金沢の百年　大正・昭和編
昭和二十七年,1952,11月1日,政治・経済,金沢市教育委員会が発足した。教育委員長は互選で福島源太郎が就任、教育長に市文教部長織田信治を任命した。,金沢の百年　大正・昭和編
昭和二十七年,1952,11月10日,政治・経済,皇太子成年式と立太子礼挙式。金沢市では市役所、各学校でそれぞれ式典を挙げた。,金沢の百年　大正・昭和編
昭和二十七年,1952,11月12日,政治・経済,市議会は、各派共同提案の「金沢市近郊の軍事施設用地調達に関する反対意見書」を可決した。内灘砂丘地ならびに粟崎海岸漁場を駐留軍試射場に供するがごときは、市民の生活安定と産業都市発展におよぼす影響がきわめて大きいから反対する、というもの。,金沢の百年　大正・昭和編
昭和二十七年,1952,11月20日,政治・経済,"内灘村村民約1,000人がムシロ旗を押したてて、県庁に接収絶対反対を陳情した。",金沢の百年　大正・昭和編
昭和二十七年,1952,11月26日,政治・経済,"金沢駅地下ビル会社の創立総会が市役所で開かれ、社長に井村市長、常務取締役に吉田助役と金沢商工会議所吉田次作副会頭、取締役に池田、麻生両副会頭、武村市議会副議長、監査役に徳田市議会議長、西川金沢商工会議所会頭を選任した。役員は無報酬。出費は市の代位出費1,500万円、県よりの借入金による市出資800万円、会議所300万円。",金沢の百年　大正・昭和編
昭和二十七年,1952,12月2日,政治・経済,政府は閣議で内灘地区を米軍砲弾試射場として、明年1月から4月まで4ヵ月間一時使用することを正式決定した。補償は1億余円の見込み。接収面積は陸地625町歩、海面400町歩。,金沢の百年　大正・昭和編
昭和二十七年,1952,12月4日,政治・経済,"政府は内灘村に対し補償金とは別個に、各施設費として7,500万円の特別交付金支出を決定した。",金沢の百年　大正・昭和編
昭和二十七年,1952,12月22日,政治・経済,従来年6回開いていた定例市議会は、地方自治法の改正で明年から2月5月8月11月の年4回になった。,金沢の百年　大正・昭和編
昭和二十七年,1952,12月25日,政治・経済,"市営住宅の旭町鉄筋2階建アパート2むね（16）戸と木造39戸ができ、入居申込み者（1,970人）の抽選がおこなわれた。",金沢の百年　大正・昭和編
昭和二十七年,1952,12月28日,政治・経済,金沢市警察本部は、下本多町米軍ＣＩＣ跡（元海軍人事部庁舎）へ移転した。,金沢の百年　大正・昭和編
昭和二十七年,1952,1月11日,社会・文化,藤井健次郎死去。85歳。金沢市出羽町出身、文化勲章受章者、学士院会員理学博士、植物細胞学の権威で金沢駅前持明院の天然記念物妙蓮を研究、紹介した。,金沢の百年　大正・昭和編
昭和二十七年,1952,1月18日,社会・文化,石川県美術館建設促進同盟が結成された。会長嵯峨保二。,金沢の百年　大正・昭和編
昭和二十七年,1952,1月31日,社会・文化,午前2時5分ごろ並木町の民家から出火、1戸を全焼、1戸を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,1月,社会・文化,笠舞町の畑地から、前期の縄文式土器数十点が発掘された。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月2日,社会・文化,北陸鉄道が金沢駅前に建設中のバス・ターミナルが完成し、バスの発着に使用を開始した。工費400万円。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月16日,社会・文化,従業員170余人の整理通告をめぐる津田駒工業会社の争議が、県地方労働委員会のあっせんにより2週間ぶりで解決した。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月18日,社会・文化,午前8時15分ごろ長町川岸金沢地方貯金局長町分室階上から出火、庁舎約90坪を焼いた。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月24日,社会・文化,午後10時15分ごろ安江町越山甘清堂の製菓工場から出火、同工場（24坪）と3階住宅（40坪）を全焼、同店舗と隣家の倉庫を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,2月25日,社会・文化,"市立泉中学校は金沢大会教育学部校舎（旧石川師範男子部校舎）へ移転した。同学校は23年から、元北陸機械の青年学校と寮を改造した仮校舎で授業していた。金大教育学部は近く旧城内の新校舎に移転する。市は26年度に3,000万円27年度に1,500万円の買収予納金を支払って教育学部校舎を買収し、泉中学校と弥生小学校の校舎にあてることにしたもの。",金沢の百年　大正・昭和編
昭和二十七年,1952,2月27日,社会・文化,第1回高峰賞の受賞者20人がきまった。受賞者は県下の高校生と中学生から選ばれたもので、20人中金沢市内の高、中生徒は16人。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月7日,社会・文化,"午後4時20分ごろ南加賀地区から福井県境にかけて地震があり、各地にかなりの損害があった。県下の建物損壊3,590むね、死者2、重傷4。震源地は美川沖。金沢では震度3の弱震、最大震幅27ミリ。（23年6月の福井地震のときの金沢での震度は4ないし5度、最大震幅約60ミリ）",金沢の百年　大正・昭和編
昭和二十七年,1952,3月9日,社会・文化,金沢高等師範学校最後の卒業式と閉校式がおこなわれた。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月12日,社会・文化,午後2時50分ごろ米泉町西金沢駅前の運送店から出火、同店と馬小屋等35坪を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月15日,社会・文化,金沢美術工芸短期大学の第1回卒業式がおこなわれた。また同時に同大学付設美術工芸専門学校も最後の卒業式をおこない、3人が卒業した。,金沢の百年　大正・昭和編
昭和二十七年,1952,3月15日,社会・文化,金沢で北陸新聞が創刊された。社長赤井米吉、顧問井村徳二、発行責任者辻豊次、本社長土塀6番丁。（35年10月27日中部日本新聞社に買収され、最終刊を出す）,金沢の百年　大正・昭和編
昭和二十七年,1952,3月29日,社会・文化,（文化財保護委員会は、羽咋郡眉丈山付近に生息する天然記念物トキを特別天然記念物に指定した。指定告示は28年6月22日。）,金沢の百年　大正・昭和編
昭和二十七年,1952,3月29日,社会・文化,石川郡野々市町のジョンガラ節が、文化財保護委員会から芸能関係の選定文化財に指定された。（29年5月29日法律改正により指定解消）,金沢の百年　大正・昭和編
昭和二十七年,1952,3月31日,社会・文化,"昨年春、安村律義によって発見された北塚町二塚農協裏田んぼの中の住居跡を石川考古学会が各学校考古学研究班約30人の協力を得て、28日から3日間大がかりな調査をした。その結果、同住居跡は縄文式中期（3,500年以前）のもので竪穴、平地住居の折衷住居跡とみられ、北陸の気候に順応した全国でも珍しい様式のものとわかった。",金沢の百年　大正・昭和編
昭和二十七年,1952,3月,社会・文化,"石川郡犀川村樫見地内で林道を改修中、シジミ貝に似た数種の貝類の化石が発見され話題になった。場所は犀川支流の平沢川に沿う断がいの中腹で、同所は1,500万年前の第3紀新生代の地層。",金沢の百年　大正・昭和編
昭和二十七年,1952,4月1日,社会・文化,県立金沢二水高校定時制課程と県立金沢菫台高校定時制課程とを合併して、定時制独立高の県立金沢中央高等学校が開設された。（校舎は金沢二水高校）,金沢の百年　大正・昭和編
昭和二十七年,1952,4月1日,社会・文化,金沢女子短期大学に付属高校が開校した。,金沢の百年　大正・昭和編
昭和二十七年,1952,4月1日,社会・文化,市は本月から市内38全校下に公民館を設置した。（予算480余万円）。これまで公民館が設置されていたのは長田、瓢箪、石引、森山、金石、材木、三馬、米丸、長土塀の9館だけであった。館長には新年度に選出された公民教育委員長を委嘱した。,金沢の百年　大正・昭和編
昭和二十七年,1952,4月18日,社会・文化,"賃上げ要求中の北陸鉄道労組は私鉄総連の指令により24時間ストを実施した。また破壊活動防止法案反対の第2波全国ストがおこなわれ、県下では各労組の約7,200人がそれぞれ職場大会、超過勤務拒否、定時退庁等をおこなった。",金沢の百年　大正・昭和編
昭和二十七年,1952,4月25日,社会・文化,金沢全市の総合商業行事として、第1回の「加賀百万石まつり」が本日から3日間開催された。大名行列、広告行列、花電車、花火大会など。主催は金沢市、金沢商工会議所、金沢商店連盟、金沢観光協会。経費約200万円。,金沢の百年　大正・昭和編
昭和二十七年,1952,4月28日,社会・文化,金沢市連合青年団（昭和21年結成）が解散、新たに金沢市地域青年団連絡協議会が結成された。委員長吉村敞。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月1日,社会・文化,"独立後初の金沢地区のメーデーが、快晴下に約50労働組合1万5,000人が参加しておこなわれた。（東京では皇居前広場でデモ隊と警官隊が衝突したメーデー事件おこる）",金沢の百年　大正・昭和編
昭和二十七年,1952,5月2日,社会・文化,"県が戦後初めて主催して、支那事変以来の石川県戦没軍人軍属2万5,000人の霊を弔う石川県戦没者追悼式が、兼六園長谷邸跡でおこなわれた。高松宮はじめ知事、市長、公職者、遺族ら千数百人が参列した。",金沢の百年　大正・昭和編
昭和二十七年,1952,5月7日,社会・文化,午前8時40分ごろ高柳町の農家から出火、1戸を全焼、1戸を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月8日,社会・文化,下本多町のスキャップ図書館が、講和発効で民間情報局から国務省の所管に移され、「アメリカ文化センター」として開館した。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月10日,社会・文化,金沢の北陸文化放送（ＪＯＭＲ）が開局した。局舎は南町、放送所は野々市町。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月15日,社会・文化,午後9時40分ごろ十三間町の民家から出火、3戸を全焼、2戸を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月15日,社会・文化,市内38の公民館長が決定して金沢市公民館連絡協議会が結成された。会長浅井秀次。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月26日,社会・文化,午後6時35分ごろ石浦町香林坊の貸席2階付近から出火、同家と朝日新聞金沢支局を全焼、写真館、書店、茶舗等3戸を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,5月31日,社会・文化,午前0時45分ごろ長土塀1番丁のクリーニング店付近から出火、3戸（2むね）を全焼、2戸を半焼した。,金沢の百年　大正・昭和編
昭和二十七年,1952,6月1日,社会・文化,野田平和町の財団法人金沢授産所が県営に移管された。,金沢の百年　大正・昭和編
